"Age","Sig1Mean","Sig1Med","Sig7Mean","Sig7Med","Sig1RobMean","Sig7RobMean"
"1",18,21,21,241,241,21,241
"2",19,23.5,23.5,323,323,22.8473193175917,290.599380591219
"3",20,46,46,401,401,46,401
"4",23,5.5,5.5,227,227,5.6297758899396,226.203448249579
"5",24,16.3333333333333,17,338,296,17,296
"6",25,42.25,35.5,661,452.5,30.886890422961,452.477623756137
"7",26,18,18,602,602,18,602
"8",27,15.5,15.5,368.5,368.5,12.9614813968157,352.774715647253
"9",28,26,26,334,334,26,334
"10",29,48,48,246,246,48,246
"11",30,9.75,9,306.75,367.5,8.48528137423857,366.927785810778
"12",32,29,29,236,236,28.7228132326901,233.390231158033
"13",33,31.5,31.5,1523.5,1523.5,29.3257565972304,783.651708350081
"14",34,39,29.5,691.5,290.5,29.1547594742265,288.444102037119
"15",35,27,27,509,509,27,509
"16",36,34.2,35,380.4,389,35,389
"17",37,19.75,24,194.75,181,24.1572279605526,166.916146612603
"18",38,43.3333333333333,43,662.333333333333,617,43,617
"19",39,26.1111111111111,20,530.333333333333,262,20,262
"20",40,24.1666666666667,22.5,260.5,230.5,22.2261107708929,230.343222170742
"21",41,1.5,1.5,187,187,1.56579494539013,13.6747943311773
"22",42,31.7142857142857,22,806.857142857143,135,22,135
"23",43,48.5555555555556,37,816,302,37,302
"24",44,50,50,991,991,46.6476151587624,926.757789284774
"25",45,39.2857142857143,49,629.857142857143,609,49,609
"26",46,24.1666666666667,21,294.5,291,21.487482845355,290.972507292356
"27",47,30.6,25,822.2,977,25,977
"28",48,32.6428571428571,41.5,570.285714285714,645,41.4246303544159,642.01323973887
"29",49,40.4285714285714,28,801.571428571429,655,28,655
"30",50,21.8,19,231.4,164,20.155861049503,164
"31",51,34.25,28.5,331.25,313.5,28.2842712474619,313.324113339526
"32",52,47,29,547.666666666667,189,29,189
"33",53,24.2,28,293,369,27.6562147128731,369
"34",54,37.75,26.5,702.166666666667,287.5,26.6561224351445,285.769137591868
"35",55,27.2,23,233.1,195,22.9065437177019,194.835828327338
"36",56,21.5384615384615,16,191.769230769231,113,17.1542762738742,113
"37",57,29.8181818181818,16,375.363636363636,274,16.6520323788642,274
"38",58,20.3636363636364,9,282.090909090909,332,9.39258273275361,331.5
"39",59,48,30,645.833333333333,236.5,29.3938769133981,221.643858475709
"40",60,45.8571428571429,32,769.857142857143,498,32,498
"41",61,18.75,13,433.25,434,13.1514278921578,412.469392803878
"42",62,43,34,763.333333333333,414,34,414
"43",63,51.4,30,487.266666666667,275,30,275
"44",64,30.6666666666667,32,301.333333333333,10,32,10
"45",65,49.75,35.5,501.5,510,35.6580727188089,493.934206144907
"46",66,43.1111111111111,34,606.333333333333,356,34,356
"47",67,25.2,14,869.2,542,15.1533550718713,542
"48",68,60.5,33,1161.875,404,32.824432660772,401.256775643727
"49",69,36.4,40,336.6,461,40,461
"50",70,41.0769230769231,21,694.615384615385,263,21,263
"51",71,44.0833333333333,37.5,729.25,565,37.5000000000008,545.541932393835
"52",72,49.8571428571429,30,814.571428571429,527,30,527
"53",73,70,31.5,971.8,766.5,30.3315017762062,765.969973301826
"54",74,30.4285714285714,28,475,352,28,352
"55",75,42.1,36,748.7,268.5,35.7770876399966,255.831976109321
"56",76,42,51,340.6,433,51,433
"57",77,41.2222222222222,45,786.444444444444,593,45,593
"58",78,98.1428571428571,95,1611.42857142857,1543,95,1543
"59",79,14.8,13,340.2,248,13.482005843359,248
"60",80,45.75,48,501.25,535,45.912961132996,531.395333061931
"61",81,47.6666666666667,14,393.666666666667,179,14,179
"62",82,57.8,47,1478.8,1008,47,1008
"63",83,53.8,43,656.2,396,43,396
"64",84,73.3333333333333,52,807.666666666667,450,52,450
"65",85,52.6666666666667,51,913.666666666667,917,51,917
"66",86,69.3333333333333,83,820,1019,83,1019
"67",87,194,194,3258.5,3258.5,192.860052888098,3102.70881650212
"68",90,16.75,17,2535.25,1171.5,17.1542762738739,271.941170108537
